,id,name,artist,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature
44,5cXne3fQ8Q2vbSMwGjunM8,Cozy Little Christmas,Yoko Ono,0.475,0.364,7,-9.621,1,0.0334,0.812,0.0,0.2,0.538,124.614,audio_features,spotify:track:5cXne3fQ8Q2vbSMwGjunM8,https://api.spotify.com/v1/tracks/5cXne3fQ8Q2vbSMwGjunM8,https://api.spotify.com/v1/audio-analysis/5cXne3fQ8Q2vbSMwGjunM8,216468,3
45,60fWsdGYfKDNkNitrk1DIW,Santa Claus Is Coming to Town,Brenda Lee,0.495,0.75,6,-4.573,0,0.0666,0.0976,0.0,0.0847,0.507,158.124,audio_features,spotify:track:60fWsdGYfKDNkNitrk1DIW,https://api.spotify.com/v1/tracks/60fWsdGYfKDNkNitrk1DIW,https://api.spotify.com/v1/audio-analysis/60fWsdGYfKDNkNitrk1DIW,229160,4
46,6oIpL9XkEhyo0bDrCagQQY,Holly Jolly Christmas,Pentatonix,0.494,0.884,10,-2.962,1,0.0839,0.577,0.0,0.372,0.668,144.072,audio_features,spotify:track:6oIpL9XkEhyo0bDrCagQQY,https://api.spotify.com/v1/tracks/6oIpL9XkEhyo0bDrCagQQY,https://api.spotify.com/v1/audio-analysis/6oIpL9XkEhyo0bDrCagQQY,212103,4
47,3BhlC2eX8obANfmLEwo1ia,Blame It On The Mistletoe,Dean Martin,0.414,0.664,1,-5.664,1,0.0415,0.227,0.0,0.271,0.526,137.095,audio_features,spotify:track:3BhlC2eX8obANfmLEwo1ia,https://api.spotify.com/v1/tracks/3BhlC2eX8obANfmLEwo1ia,https://api.spotify.com/v1/audio-analysis/3BhlC2eX8obANfmLEwo1ia,118395,4
48,1deT8vP3lOVU3XFAKHsSc3,Amazing Grace (My Chains Are Gone),Troye Sivan,0.658,0.515,1,-7.283,1,0.0368,0.678,0.0,0.154,0.652,110.089,audio_features,spotify:track:1deT8vP3lOVU3XFAKHsSc3,https://api.spotify.com/v1/tracks/1deT8vP3lOVU3XFAKHsSc3,https://api.spotify.com/v1/audio-analysis/1deT8vP3lOVU3XFAKHsSc3,219169,4
49,2mvabkN1i2gLnGAPUVdwek,Rudolph The Red-Nosed Reindeer,Nat King Cole,0.598,0.68,7,-4.505,1,0.0331,0.06,0.0,0.324,0.437,134.002,audio_features,spotify:track:2mvabkN1i2gLnGAPUVdwek,https://api.spotify.com/v1/tracks/2mvabkN1i2gLnGAPUVdwek,https://api.spotify.com/v1/audio-analysis/2mvabkN1i2gLnGAPUVdwek,228027,4
50,38xhBO2AKrJnjdjVnhJES6,Do You Hear What I Hear? - Remastered 2006,Justin Bieber,0.634,0.645,5,-9.2,1,0.0376,0.292,0.0,0.246,0.677,93.047,audio_features,spotify:track:38xhBO2AKrJnjdjVnhJES6,https://api.spotify.com/v1/tracks/38xhBO2AKrJnjdjVnhJES6,https://api.spotify.com/v1/audio-analysis/38xhBO2AKrJnjdjVnhJES6,231173,4
51,3Z3QhZAZpqwZa1phsbQ3JZ,Santa Baby,Brett Eldredge,0.497,0.661,9,-9.047,1,0.0361,0.328,0.000317,0.211,0.894,180.225,audio_features,spotify:track:3Z3QhZAZpqwZa1phsbQ3JZ,https://api.spotify.com/v1/tracks/3Z3QhZAZpqwZa1phsbQ3JZ,https://api.spotify.com/v1/audio-analysis/3Z3QhZAZpqwZa1phsbQ3JZ,240213,4
52,6MtecozqUbilB5qbVARrUH,It's the Most Wonderful Time of the Year,Perry Como,0.564,0.563,2,-7.976,1,0.0259,0.00379,0.0358,0.0763,0.113,104.031,audio_features,spotify:track:6MtecozqUbilB5qbVARrUH,https://api.spotify.com/v1/tracks/6MtecozqUbilB5qbVARrUH,https://api.spotify.com/v1/audio-analysis/6MtecozqUbilB5qbVARrUH,288046,4
53,0Ie5uiv54KgCr7P4sYDTHl,It's Beginning to Look a Lot like Christmas,Britney Spears,0.553,0.476,0,-8.869,1,0.0649,0.647,0.0,0.281,0.558,113.401,audio_features,spotify:track:0Ie5uiv54KgCr7P4sYDTHl,https://api.spotify.com/v1/tracks/0Ie5uiv54KgCr7P4sYDTHl,https://api.spotify.com/v1/audio-analysis/0Ie5uiv54KgCr7P4sYDTHl,166147,3
